"ID_VIV","ID_PER","UPM","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","COD_RES","R_INF","SEL_D","SEL_M","N_REN","PAREN","SEXO","EDAD","NAC_D","NAC_M","COD","NIV","GRA","P3_8","P3_9","P3_10","P3_11","FAC_VIV","FAC_SEL","DOMINIO","UPM_DIS","EST_DIS"
"0100835.05","0100835.05.01","0100835","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","26","09","01","1","1","40","17","04","2","08","5","2","1","","2","6590.49346877575","0","U","0440","0001"
"0100835.05","0100835.05.02","0100835","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","26","09","02","2","2","27","20","12","1","08","5","2","1","","2","6590.49346877575","13180.9869375515","U","0440","0001"
"0100835.05","0100835.05.03","0100835","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","26","09","03","3","1","03","","","","00","","2","","","","6590.49346877575","0","U","0440","0001"
"0101087.01","0101087.01.01","0101087","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","01","1","1","62","01","03","2","03","3","2","6","4","","5500.09300560075","0","U","0005","0002"
"0101087.01","0101087.01.02","0101087","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","02","2","2","60","20","08","2","03","3","2","6","4","","5500.09300560075","0","U","0005","0002"
"0101087.01","0101087.01.03","0101087","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","03","3","2","23","15","02","1","08","5","2","1","","2","5500.09300560075","16500.2790168023","U","0005","0002"
"0101087.02","0101087.02.01","0101087","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","04","29","09","01","1","2","48","03","07","2","07","3","2","1","","2","5500.09300560075","0","U","0005","0002"
"0101087.02","0101087.02.02","0101087","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","04","29","09","02","2","1","49","12","04","2","99","","2","1","","3","5500.09300560075","0","U","0005","0002"
"0101087.02","0101087.02.03","0101087","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","04","29","09","03","3","1","25","23","09","2","08","3","2","1","","2","5500.09300560075","0","U","0005","0002"
"0101087.02","0101087.02.04","0101087","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","04","29","09","04","3","2","20","29","10","1","06","3","1","4","4","","5500.09300560075","22000.372022403","U","0005","0002"
"0101087.03","0101087.03.01","0101087","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","30","09","01","1","2","62","23","10","1","02","6","2","5","4","","5500.09300560075","5500.0930056008","U","0005","0002"
"0101087.04","0101087.04.01","0101087","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","01","1","1","24","07","12","1","03","3","2","1","","2","5500.09300560075","11000.1860112015","U","0005","0002"
"0101087.04","0101087.04.02","0101087","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","02","2","2","30","22","09","2","06","3","2","1","","2","5500.09300560075","0","U","0005","0002"
"0101087.05","0101087.05.01","0101087","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","30","09","01","1","1","25","31","05","2","03","3","2","1","","2","5500.09300560075","0","U","0005","0002"
"0101087.05","0101087.05.02","0101087","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","30","09","02","2","2","25","18","04","1","06","3","2","5","4","","5500.09300560075","11000.1860112015","U","0005","0002"
"0101087.05","0101087.05.03","0101087","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","30","09","03","3","1","06","","","","01","3","1","","","","5500.09300560075","0","U","0005","0002"
"0101214.01","0101214.01.01","0101214","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","03","28","09","01","1","1","65","22","05","2","08","5","2","6","2","3","4299.61053790339","0","U","0006","0003"
"0101214.01","0101214.01.02","0101214","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","03","28","09","02","3","2","41","03","02","1","08","5","2","1","","2","4299.61053790339","12898.8316137102","U","0006","0003"
"0101214.01","0101214.01.03","0101214","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","03","28","09","03","3","1","32","19","06","2","08","5","2","1","","2","4299.61053790339","0","U","0006","0003"
"0101214.02","0101214.02.01","0101214","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","01","1","1","53","16","08","2","03","3","2","1","","3","4299.61053790339","0","U","0006","0003"
