LON,LAT,EDO,CLAVE,ESTACION,jul_23
-99.004722,18.727222,MOR,MYOMR,"Moyotepec, Mor.",128.6
-99.031389,18.923333,MOR,OACMR,"Oacalco, Mor.",71.11
-98.901389,18.900556,MOR,OAXMR,"Oaxtepec, Mor.",190.11
-99.219167,18.908889,MOR,OBSMR,"Observatorio de Cuernavaca, Mor.",228.91
-98.758611,18.8825,MOR,OCTMR,"Ocuituco, Mor.",241.5
-99.433333,18.8675,MOR,PAPMR,"Palpan, Mor.",227.3
-99.322778,18.633333,MOR,PIXMR,"Puente de Ixtla, Mor.",209.55
-99.156944,18.771111,MOR,PROMR,"Progreso, Mor.",181.3
-99.331389,18.765278,MOR,RODMR,"El Rodeo, Mor.",160.7
-98.936111,18.541389,MOR,SHUAUTLA,"Sierra de Huautla, Mor. SMN*",7.4
-99.190556,18.918333,MOR,SLDMR,"Solidaridad, Mor.",198.4
-98.83,18.638333,MOR,TEBMR,"Tepalcingo Bachillerato, Mor.",228.4
-99.223611,18.856944,MOR,TEMMR,"Temixco, Mor.",208.35
-98.710278,18.876389,MOR,TETMR,"Tetela del Volcán, Mor.",158.3
-99.103889,18.794167,MOR,TICMR,"Ticumán, Mor.",170.9
-99.306111,18.487778,MOR,TILMR,"Tilzapotla, Mor.",200.15
-98.75,18.813333,MOR,TLOMR,"Tlacotepec, Mor.",190.72
-99.241667,19.054167,MOR,TMAMR,"Tres Marías, Mor.",434.53
-98.786944,18.778056,MOR,TMCMR,"Temoac, Mor.",198.21
-99.093889,18.705833,MOR,TMPMR,"Temilpa, Mor.",158.9
-98.92,18.9875,MOR,TOTMR,"Totolapan, Mor.",153.5
-98.843611,18.596389,MOR,TPLMR,"Tepalcingo, Mor.",271.8
-99.072778,18.971389,MOR,TPZMR,"Tepoztlán, Mor.",284.51
-99.250278,18.611111,MOR,TQGMR,"Tequesquitengo, Mor.",147.2
-99.383611,18.73,MOR,VALMR,"Vista Alegre, Mor.",238.11
