clave,lat,lon,estacion,edo,abr-23
PUOPB,-98.166667,19.05,Observatorio de Puebla,PUE,29.9
PUREPETIRO,-102.136944,19.961389,Presa Urepetiro SGT,MICH,0
PUYTB,-92.9375,17.566667,Puyacatengo,TAB,22.4
PVAHD,-99.375833,20.435556,Vicente Aguirre,HGO,3.02
PVLTP,-99.583333,24.183333,Puerto de Valles,TAMPS,52.4
QIJCH,-106.085556,28.656944,Observatorio de Chihuahua,CHIH,0
QLTSI,-106.466667,23.5625,Quelite,SIN,0
QRBSO,-111.021389,30.050556,Querobabi,SON,0
QTZGR,-98.500556,16.655833,Quetzala,GRO,0
QUIOSCO,-92.618056,16.7475,Quiosco SGT,CHIS,8.4
QUIPB,-97.616667,19.25,Quimixtl·n,PUE,50.1
RALVC,-95.627778,18.716667,Radar Alvarado,VER,30.41
RAMJL,-104.05,20.55,RÌo Ameca,JAL,0
RBRBS,-109.591389,23.593056,La Ribera,BCS,0
RDRCM,-104.100556,18.938611,Radar,COL,0
REFCP,-92.666667,15.916667,Reforma,CHIS,8.9
REFUGIOCP,-93.030278,17.413333,El Refugio SGT,CHIS,24.2
REVCP,-93.079167,16.158333,RevoluciÛn Mexicana,CHIS,7.1
RFRTP,-99.026111,22.843056,RÌo FrÌo,TAMPS,82
RGRZC,-103.025833,23.816944,RÌo Grande,ZAC,3.3
RIBTP,-98,25.966667,RÌo Bravo,TAMPS,76.21
RILYC,-88.160278,21.571111,RÌo Lagartos SMN,YUC,0.2
RMEGR,-99.166111,16.823611,RevoluciÛn Mexicana,GRO,0
RMLOX,-95.916667,17.733333,RÌo Manso Lalana,OAX,203.4
RNAPB,-97.401667,20.116111,Rancho Nuevo,PUE,402.5
RODMR,-99.331389,18.765278,El Rodeo,MOR,8.52
ROMNR,-105.211667,22.119722,Rosamorada,NAY,0
RQTSL,-98.888611,21.425,Requetemu,SLP,143.2
RSPTP,-97.991944,23.259444,Rep˙blica EspaÒola,TAMPS,43.6
RSRNR,-104.8875,21.780833,San Rafael,NAY,0
RSRSI,-105.85,22.983333,Rosario,SIN,0
RUINR,-105.1425,21.958333,Ruiz,NAY,0
RVDSL,-99.995,21.931389,Observatorio de RÌo Verde,SLP,68.6
RVEOX,-97.725,16.102778,RÌo Verde,OAX,0
RYNTP,-98.883333,26.166667,S-J-2-9 Reynosa,TAMPS,113
SA1JL,-101.835556,21.359167,La Sauceda,JAL,0
SAACP,-92.35,17.566667,Salto de Agua,CHIS,13.5
SACDR,-105.443056,25.225,SalomÈ Acosta,DGO,0
SAMTB,-93.275556,17.996944,Samaria,TAB,41.1
SANBS,-110.059167,23.805,San Antonio,BCS,0
SANMIGUELCFE,-92.239167,15.776667,San Miguel CFE,CHIS,0
SAUJL,-101.85,21.35,La Sauceda,JAL,0
SAYCP,-93.383333,17.425,Sayula,CHIS,10.6
SBABS,-109.843889,23.738333,San Bartolo,BCS,0
SBBMX,-99.704722,19.465833,JosÈ Antonio Alzate,M…X,3
SBNCA,-91.175833,18.972778,Sabancuy,CAMP,0
SBNSO,-108.876667,27.411944,San Bernardo,SON,0
SBNTP,-99.093056,23.031389,Sabinas,TAMPS,57.9
SBTVC,-97.809722,20.887222,Sombrerete,VER,141.88
SBYDR,-104.675833,23.874444,Santiago Bayacora,DGO,0
SCCASASCFE,-92.603056,16.727222,San CristÛbal de las Casas CFE,CHIS,11
SCHCM,-103.700833,19.408333,Suchitl·n,COL,0
SCIOX,-96.55,17.266667,Ixtepeji,OAX,51.5
SCOCP,-92.633333,16.733333,Observatorio de San CristÛbal,CHIS,10.8
SCRCP,-92.616667,16.741667,Puente Morelos,CHIS,10.1
SCRMC,-102.464722,20.208333,San CristÛbal,MICH,0
SCROX,-95.2,16.183333,Observatorio de Salina Cruz,OAX,0
SCRPB,-98.22,19.113056,San CristÛbal Caleras,PUE,15.003
SCRSI,-106.952778,24.484722,Santa Cruz,SIN,0
SDATP,-98.869444,22.784444,Saca de Agua,TAMPS,85.2
SDOCP,-93.056389,16.4525,Santo Domingo,CHIS,0
SECTEC103,-93.1,16.786111,Secundaria TÈcnica 103 SGT,CHIS,0
SELDR,-103.079722,24.608333,Santa Elena,DGO,0
SFEGJ,-101.216667,21.483333,San Felipe,GTO,10.9
SFLBN,-114.85,31.033333,Observatorio de San Felipe,BC,0
SFOZC,-102.884444,24.322222,San Francisco,ZAC,3.63
SFRSI,-108.779167,26.073611,Sufragio,SIN,0
SFUOX,-96.533333,17.883333,San Felipe Usila,OAX,101
SGBDR,-105.560833,26.436667,San Gabriel,DGO,5
SGBTP,-98.787222,23.083611,San Gabriel,TAMPS,23.51
SGOZC,-103.506111,24.288611,Santiago,ZAC,2.01
SGRJL,-102.5,21.3,San Gaspar de los Reyes,JAL,0
SIHVC,-95.183333,18.45,Sihuap·n,VER,121.6
SILTEPEC,-92.321944,15.558056,Siltepec SGT,CHIS,19.8
SJATL,-98.200556,19.556111,San JosÈ Atlanga,TLAX,29
SJCBS,-109.708333,23.118889,San JosÈ del Cabo,BCS,0
SJEGR,-100.472778,17.139444,San JerÛnimo,GRO,0
SJEVC,-95.133333,17.883333,San Juan Evangelista,VER,35.72
SJGDR,-102.778056,24.630556,San Juan de Guadalupe,DGO,0.01
SJLGJ,-101.016667,20.4,Santa Julia,GTO,0
SJNSI,-107.8425,25.486667,San Juan,SIN,0
SJPSO,-110.239167,28.713333,San JosÈ de Pimas,SON,0
SJSQT,-100,20.3625,San JosÈ,QRO,20.31
SJUMC,-102.651389,19.839444,San Juanico,MICH,0
SLAGUNA,-109.998611,23.555556,Sierra La Laguna SMN,BCS,0
SLDMR,-99.190556,18.918333,Solidaridad,MOR,31.7
SLMGJ,-101.199444,20.565833,Salamanca,GTO,0.03
SLMTP,-98.208889,23.762222,Observatorio de Soto la Marina,TAMPS,86.9
SLRSI,-107.1,24.45,San Lorenzo,SIN,0
SLSGJ,-100.669722,20.055278,SolÌs,GTO,1.01
SLTSI,-106.695833,24.121944,Ing. Aurelio Benassini VizcaÌno,SIN,0
SLVGJ,-100.885833,20.216667,Salvatierra,GTO,3.15
SLZTP,-98.791389,22.943889,Lic. Emilio Portes Gil,TAMPS,125
SMAGJ,-101.016389,20.430833,San Miguel de Allende,GTO,0
