LON,LAT,EDO,CLAVE,ESTACION,jun-23
-97.83,17.72,OAX,YOSOX,"Yosocuta, Oax.",31.73
-98.39,17.76,OAX,ZALOX,"Zapotitl·n Lagunas, Oax.",40.3
-94.22,16.4,OAX,ZANOX,"Zanatepec, Oax.",138.03
-97.82,17.89,OAX,ZAPOX,"Zapotitl·n Palmas, Oax.",67.81
-97.42,19.45,PUE,ACHPB,"Alchichilca, Pue.",42.63
-97.93,19.06,PUE,ACJPB,"Acajete, Pue.",98.9
-98.06,18.28,PUE,ADOPB,"Acatl·n de Osorio, Pue.",28.31
-98.14,18.94,PUE,AFRPB,"Africam, Pue.",53.1
-97.92,18.85,PUE,AHAPB,"Ahuatepec, Pue.",78
-98.15,20.03,PUE,AHUPB,"Ahuazontepec, Pue.",1
-97.85,20.41,PUE,APAPB,"Apapantilla, Pue.",28
-98.42,18.92,PUE,ATXPB,"Atlixco, Pue.",73.1
-97.88,20.39,PUE,AVCPB,"¡vila Camacho, Pue.",45.11
-97.5,19.96,PUE,BAIPB,"Buenos Aires CFE, Pue.",117.82
-98.11,18.91,PUE,BDDPB,"Manuel ¡vila Camacho, Pue.",36.11
-97.44,18.99,PUE,CDSPB,"Ciudad Serd·n, Pue.",41
-97.96,18.97,PUE,CEMPB,"Cemex, Pue.",74.4
-97.36,18.32,PUE,CHCPB,"Chilac, Pue.",13.2
-98.58,18.52,PUE,CHIPB,"Chietla, Pue.",18.83
-98.32,19.07,PUE,CHLPB,"Cholula, Pue.",75.52
-98.57,18.11,PUE,CHSPB,"Chila de la Sal, Pue.",42.8
-98.2,19.02,PUE,CNAPB,"Conagua, Pue.",54
-98.05,19.74,PUE,CNGPB,"Chignahuapan, Pue.",21
-98.16,18.61,PUE,COAPB,"Coatzingo, Pue.",78.62
-98.06,19.09,PUE,CPLPB,"Capulac, Pue.",161.6
-97.52,20.03,PUE,CTZPB,"Cuetzalan del Progreso, Pue.",95.53
-98.28,18.97,PUE,ECHPB,"EcheverrÌa, Pue.",91.52
-98.46,19.1,PUE,HJTPB,"Huejotzingo, Pue.",41.82
-98.54,18.77,PUE,HQCPB,"Huaquechula, Pue.",54.8
-98.05,20.18,PUE,HUAPB,"Huauchinango, Pue.",78.31
-97.82,19.62,PUE,IXTPB,"Ixtacamaxtitl·n, Pue.",31.53
-98.47,18.61,PUE,IZMPB,"Iz˙car de Matamoros, Pue.",48.02
-97.69,19.46,PUE,LIBPB,"Libres, Pue.",38.7
-98.23,19.01,PUE,MAYPB,"Mayorazgo 21 Poniente, Pue.",74.21
-97.85,20.73,PUE,MTLPB,"Metlaltoyuca, Pue.",1.6
-96.78,18.36,PUE,NARPB,"Naranjastitla, Pue.",175.7
-98,20,PUE,NECAXA,"Necaxa FENIX, Pue.",64.6
-98,20.22,PUE,NNEPB,"Necaxa, Pue.",96.8
-97.53,19.7,PUE,OYAPB,"Oyameles, Pue.",4.02
-97.25,18.92,PUE,PCRPB,"Paso Carretas, Pue.",51
-98.26,18.2,PUE,PIXPB,"Piaxtla, Pue.",15.6
-97.7,20.45,PUE,PTEPALOMAS,"Puente Palomas SGT, Pue.",24.1
-97.88,20.23,PUE,PTLPB,"Patla, Pue.",5.9
-98.17,19.05,PUE,PUOPB,"Observatorio de Puebla, Pue.",51.2
-97.62,19.25,PUE,QUIPB,"Quimixtl·n, Pue.",91.3
-98.22,19.11,PUE,SCRPB,"San CristÛbal Caleras, Pue.",23.82
-97.21,20.13,PUE,SJAPB,"San JosÈ Acateno, Pue.",27.93
-97.91,18.74,PUE,SMCPB,"San Miguel Canoa, Pue.",6.04
-98.42,19.28,PUE,SMTPB,"San MartÌn Texmelucan, Pue.",29.51
-97.45,19.96,PUE,SOLPB,"La Soledad, Pue.",105.01
-98.58,19.33,PUE,SRTPB,"Santa Rita Tlahuapan, Pue.",50.5
-97.49,19.95,PUE,STLPB,"Sontalalco CFE, Pue.",58.52
-97.79,20,PUE,TDRPB,"Tepango de RodrÌguez, Pue.",52
-97.75,18.88,PUE,TECPB,"Tecamachalco, Pue.",33.4
-97.4,18.48,PUE,TEHPB,"Tehuac·n, Pue.",6.8
-98.78,18.45,PUE,TELPB,"Teotlalco, Pue.",11.2
-97.81,19.83,PUE,TEOPB,"Tetela de Ocampo, Pue.",79.51
-97.95,20.21,PUE,TEPPB,"Tepexic, Pue.",41
-97.36,19.82,PUE,TEZPB,"Teziutl·n, Pue.",67.02
-97.88,20.32,PUE,TLAXCALALTON,"Tlaxcalaltongo SGT, Pue.",35.4
-96.85,18.41,PUE,TLPPB,"Tlacotepec de DÌaz, Pue.",118.5
-97.49,19.49,PUE,TPYPB,"Tepeyahualco, Pue.",36.02
-96.86,18.48,PUE,TYAPB,"Tepeyac, Pue.",83.2
-98.05,20.18,PUE,UDSPB,"Universidad de la Sierra, Pue.",80.21
-97.68,20.51,PUE,VENPB,"Venustiano Carranza, Pue.",22.1
-97.96,20.28,PUE,XDJPB,"Xicotepec de Ju·rez, Pue.",100.2
-97.59,19.86,PUE,ZCPPB,"Zacapoaxtla, Pue.",41.82
-97.01,18.33,PUE,ZOQPB,"Zoquitl·n, Pue.",71.01
-97.83,20.18,PUE,ZRGPB,"Zaragoza, Pue.",25
-100.08,20.42,QRO,CNSQT,"ConstituciÛn de 1917, Qro.",11.5
-99.96,20.2,QRO,IDFQT,"San Ildefonso, Qro.",10.01
-100,20.36,QRO,SJSQT,"San JosÈ, Qro.",6
-86.82,21.16,QROO,CANQR,"Canc˙n, Q. Roo.",143.82
-87.3,18.76,QROO,CHINCHORROmar,"Banco Chinchorro SEMAR, Q. Roo.",51.05
-88.33,18.5,QROO,CHOQR,"Observatorio de Chetumal, Q. Roo.",117.93
-86.78,21.07,QROO,CNCQR,"Canc˙n Radar SMN, Q. Roo.",101.39
-86.95,20.51,QROO,COZQR,"Cozumel, Q. Roo.",75.9
-88.05,19.58,QROO,FCRQR,"Observatorio de Felipe Carrillo Puerto, Q. Roo.",188.6
