LON,LAT,EDO,CLAVE,ESTACION,oct-23
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",33.26
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de Méx. UNAM*",36.167
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de Méx. UNAM*",38.269
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",44.67
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",20.07
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",40.38
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",7.87
-99.059722,19.383889,DF,CCHOTE,"CCH Oriente, Cd. de Méx. UNAM*",29.9
-99.140833,19.483333,DF,CCHVALLEJO,"CCH Vallejo, Cd. de Méx. UNAM*",32.92
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",34.03
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",0
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de Méx. UNAM*",28.22
-99.105,19.323333,DF,CULHUACAN,"Culhuacán, Cd. de Méx. UNAM*",60.064
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",80.52
-99.205,19.3,DF,DATDF,"Desviación Alta, Cd. de Méx.",15
-99.203889,19.271389,DF,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de Méx. SMN*",78.6
-99.066667,19.377778,DF,EMRDF,"El Moral SACM, Cd. de Méx.",27.44
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",9.4
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",62.97
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",9.9
-99.119444,19.496389,DF,INDIOSVER,"Indios Verdes, Cd. de Méx. UNAM*",43.97
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de Méx.",31.2
