"ID_VIV","UPM","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","COD_RES","P1_1","P2_1","P2_2","P2_3","P2_4","FAC_VIV","DOMINIO","UPM_DIS","EST_DIS"
"0300924.04","0300924","04","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","05","1","","","1986.46388127507","U","0028","0007"
"0300924.05","0300924","05","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","2","01","1","","","1986.46388127507","U","0028","0007"
"0300997.01","0300997","01","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","2131.44971237771","U","0029","0008"
"0300997.02","0300997","02","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","01","1","","","2131.44971237771","U","0029","0008"
"0300997.03","0300997","03","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","01","1","","","2131.44971237771","U","0029","0008"
"0300997.04","0300997","04","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","2131.44971237771","U","0029","0008"
"0300997.05","0300997","05","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","2131.44971237771","U","0029","0008"
"0301067.01","0301067","01","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","1820.92522450215","U","0030","0007"
"0301067.02","0301067","02","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","1820.92522450215","U","0030","0007"
"0301067.03","0301067","03","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","01","1","","","1820.92522450215","U","0030","0007"
"0301067.04","0301067","04","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","03","1","","","1820.92522450215","U","0030","0007"
"0301067.05","0301067","05","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","03","1","","","1820.92522450215","U","0030","0007"
"0400224.01","0400224","01","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1323.87580788328","U","0031","0009"
"0400224.02","0400224","02","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1323.87580788328","U","0031","0009"
"0400224.03","0400224","03","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1323.87580788328","U","0031","0009"
"0400224.04","0400224","04","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1323.87580788328","U","0031","0009"
"0400224.05","0400224","05","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1323.87580788328","U","0031","0009"
"0400253.02","0400253","02","04","CAMPECHE","002","CAMPECHE","01","1","02","1","","","1291.16973226728","U","0032","0010"
"0400253.03","0400253","03","04","CAMPECHE","002","CAMPECHE","01","1","07","1","","","1291.16973226728","U","0032","0010"
"0400253.04","0400253","04","04","CAMPECHE","002","CAMPECHE","01","1","02","1","","","1291.16973226728","U","0032","0010"
"0400253.05","0400253","05","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1291.16973226728","U","0032","0010"
